"versionId","domain","fullDomain","properties__anypoint.platform.config.analytics.agent.enabled","status","workers__type__name","workers__type__weight","workers__type__cpu","workers__type__memory","workers__amount","workers__remainingOrgWorkers","workers__totalOrgWorkers","lastUpdateTime","fileName","muleVersion__version","muleVersion__updateId","muleVersion__latestUpdateId","muleVersion__endOfSupportDate","previousMuleVersion__version","previousMuleVersion__updateId","previousMuleVersion__endOfSupportDate","region","persistentQueues","persistentQueuesEncryptionEnabled","persistentQueuesEncrypted","monitoringEnabled","monitoringAutoRestart","staticIPsEnabled","hasFile","secureDataGatewayEnabled","loggingNgEnabled","loggingCustomLog4JEnabled","cloudObjectStoreRegion","insightsReplayDataRegion","isDeploymentWaiting","deploymentGroup__id","deploymentGroup__name","updateRuntimeConfig","trackingSettings__trackingLevel"
"60dc3553c632ee268f62e79a","basic-ch-api-hello-world","basic-ch-api-hello-world.uk-e1.cloudhub.io","false","STARTED","Micro","0.1","0.1 vCores","500 MB memory","1","0.2","0.6","1644006217058","basic-ch-api-hello-world-1.0.0-SNAPSHOT-mule-application.jar","4.4.0/01-04-2022","61d3db0536b6517e4ffcf614","61fda0ee6bf97f08c583e798","1662595200000","4.3.0","61d3dcca30ec354c29c539a7","1678233600000","eu-west-2","False","True","False","True","True","False","True","False","True","False","eu-west-2","eu-west-2","False","5ac685b0de9e5022ac80274e","EU (London)","False","DISABLED"
"60dc3f1e545aad56225c5ac3","basic-ch-api-hello-world-https","basic-ch-api-hello-world-https.uk-e1.cloudhub.io","false","STARTED","Micro","0.1","0.1 vCores","500 MB memory","1","0.2","0.6","1641999023734","basic-ch-api-hello-world-1.0.0-SNAPSHOT-mule-application.jar","4.3.0/01-04-2022","61d3dcca30ec354c29c539a7","61fda1325a08be2bfb2e5ea5","1678233600000","4.3.0","61bd26523ca92d3951f503cd","1678233600000","eu-west-2","False","True","False","True","True","False","True","False","True","False","eu-west-2","eu-west-2","False","5ac685b0de9e5022ac80274e","EU (London)","False","DISABLED"
"61fd8199033bc65027e67a3f","basic-ch-hello-world-4-3-0-2022","basic-ch-hello-world-4-3-0-2022.us-e2.cloudhub.io","false","STARTED","Micro","0.1","0.1 vCores","500 MB memory","1","0.2","0.6","1644003833203","basic-ch-api-hello-world-1.0.0-SNAPSHOT-mule-application.jar","4.3.0/01-04-2022","61d3dcca30ec354c29c539a7","61fda1325a08be2bfb2e5ea5","1678233600000","","","","us-east-2","False","True","False","True","True","False","True","False","True","False","us-east-2","us-east-2","False","5ac685b0de9e5022ac802745","US East (Ohio)","False","DISABLED"
